EX_Id,GA_Id,DisplayOrder,Type,Name,Path,EA,Data
8969,2540,5,0,"Advert","Adverts\V\Virgin_Games_Erebus.jpg ",0,""
8970,2549,0,0,"Advert","Adverts\D\Digital_Magic_Escape_from_Colditz.jpg ",0,""
8971,2554,2,0,"Advert","Adverts\A\Anco2.jpg ",0,""
8972,2558,4,0,"Advert","Adverts\D\Domark_Escape_from_the_Planet_of_the_Robot_Monsters1.jpg ",0,""
8973,2558,5,0,"Advert","Adverts\D\Domark_Escape_from_the_Planet_of_the_Robot_Monsters2.jpg ",0,""
8974,2558,6,0,"Advert","Adverts\H\HitSquad_Quality_Games_at_Budget_Prices.jpg ",0,""
8975,2567,1,0,"Advert","Adverts\O\Ocean01c.jpg ",0,""
8976,2567,2,0,"Advert","Adverts\O\Ocean01e.jpg ",0,""
8977,2567,3,0,"Advert","Adverts\O\Ocean01f.jpg ",0,""
8978,2567,4,0,"Advert","Adverts\O\Ocean01g.jpg ",0,""
8979,2567,5,0,"Advert","Adverts\O\Ocean01i.jpg ",0,""
8980,2571,3,0,"Advert","Adverts\G\Grandslam_Espionage.jpg ",0,""
8981,2571,4,0,"Advert","Adverts\G\Grandslam3.jpg ",0,""
8982,2573,2,0,"Advert","Adverts\F\Firebird06a.jpg ",0,""
8983,2573,3,0,"Advert","Adverts\F\Firebird06b.jpg ",0,""
8984,2574,2,0,"Advert","Adverts\U\USGold_ESwat1.jpg ",0,""
8985,2574,3,0,"Advert","Adverts\U\USGold_ESwat2.jpg ",0,""
8986,2574,4,0,"Advert","Adverts\U\USGold15.jpg ",0,""
8987,2574,5,0,"Advert","Adverts\U\USGold16.jpg ",0,""
8988,2574,6,0,"Advert","Adverts\U\USGold20.jpg ",0,""
8989,2574,7,0,"Advert","Adverts\U\USGold43.jpg ",0,""
8990,2582,3,0,"Advert","Adverts\D\Domark_Eureka1.jpg ",0,""
8991,2582,4,0,"Advert","Adverts\D\Domark_Eureka2.jpg ",0,""
8992,2591,3,0,"Advert","Adverts\E\EJ_Software_World_Champions.jpg ",0,""
8993,2591,4,0,"Advert","Adverts\E\EJ_Software1.jpg ",0,""
8994,2591,5,0,"Advert","Adverts\E\EJ_Software2.jpg ",0,""
8995,2591,6,0,"Advert","Adverts\E\EJ_Software3.jpg ",0,""
8996,2594,1,0,"Advert","Adverts\R\Richard_Shepherd_Software1.jpg ",0,""
8997,2594,2,0,"Advert","Adverts\R\Richard_Shepherd_Software2.jpg ",0,""
8998,2594,3,0,"Advert","Adverts\R\Richard_Shepherd_Software3.jpg ",0,""
8999,2596,5,0,"Advert","Adverts\M\MikroGen_Everyones_a_Wally.jpg ",0,""
9000,2596,6,0,"Advert","Adverts\M\MikroGen3.jpg ",0,""
9001,2596,7,0,"Advert","Adverts\V\Virgin_Games_Now_Games3.jpg ",0,""
9002,2597,2,0,"Advert","Adverts\M\Mindgames_Evil_Crown.jpg ",0,""
9003,2598,2,0,"Advert","Adverts\P\Palace_Software_Evil_Dead.jpg ",0,""
9004,2607,2,0,"Advert","Adverts\F\Firebird05.jpg ",0,""
9005,2607,3,0,"Advert","Adverts\F\Firebird06a.jpg ",0,""
